Entity,Code,Year,Researchers in R&D (per million people)
Albania,ALB,2008,157.60033
Algeria,DZA,2005,170.80766
Algeria,DZA,2017,832.4228
American Samoa,ASM,2002,85.80009
American Samoa,ASM,2003,413.23026
American Samoa,ASM,2004,155.70395
American Samoa,ASM,2005,104.44046
Angola,AGO,2011,48.31265
Angola,AGO,2016,18.9549
Argentina,ARG,1997,696.5926
Argentina,ARG,1998,705.6065
Argentina,ARG,1999,713.57104
Argentina,ARG,2000,716.68835
Argentina,ARG,2001,688.24274
Argentina,ARG,2002,692.1608
Argentina,ARG,2003,718.5463
Argentina,ARG,2004,766.08325
Argentina,ARG,2005,819.9057
Argentina,ARG,2006,892.2134
Argentina,ARG,2007,974.80927
Argentina,ARG,2008,1036.2191
Argentina,ARG,2009,1035.8016
Argentina,ARG,2010,1123.9148
Argentina,ARG,2011,1181.0455
Argentina,ARG,2012,1203.982
Argentina,ARG,2013,1198.9836
Argentina,ARG,2014,1207.8397
Argentina,ARG,2015,1231.4866
Argentina,ARG,2016,1260.701
Argentina,ARG,2017,1212.4573
Argentina,ARG,2018,1227.4042
Argentina,ARG,2019,1231.5171
Argentina,ARG,2020,1256.264
Argentina,ARG,2021,1283.7987
Australia,AUS,1996,3370.9177
Australia,AUS,1998,3397.188
Australia,AUS,2000,3491.5256
Australia,AUS,2002,3778.8804
Australia,AUS,2004,4098.5146
Australia,AUS,2006,4294.911
Australia,AUS,2008,4405.36
Australia,AUS,2010,4594.137
Austria,AUT,1998,2348.1062
Austria,AUT,2002,2993.2163
Austria,AUT,2004,3187.8887
Austria,AUT,2005,3471.6409
Austria,AUT,2006,3537.7566
Austria,AUT,2007,3824.5967
Austria,AUT,2008,4153.939
Austria,AUT,2009,4158.8647
Austria,AUT,2010,4380.434
Austria,AUT,2011,4431.667
Austria,AUT,2012,4721.936
Austria,AUT,2013,4783.214
Austria,AUT,2014,5010.5073
Austria,AUT,2015,5074.43
Austria,AUT,2016,5401.3037
Austria,AUT,2017,5416.8936
Austria,AUT,2018,5683.2427
Austria,AUT,2019,5959.55
Austria,AUT,2020,5829.8374
Austria,AUT,2021,6341.739
Azerbaijan,AZE,2019,1694.47
Azerbaijan,AZE,2020,1712.1675
Azerbaijan,AZE,2021,1728.7639
Bahrain,BHR,2014,383.96417
Belarus,BLR,2020,1433.5925
Belarus,BLR,2021,1393.5448
Belgium,BEL,1996,2486.0664
Belgium,BEL,1997,2590.4846
Belgium,BEL,1998,2712.6724
Belgium,BEL,1999,2913.2732
Belgium,BEL,2000,2981.5454
Belgium,BEL,2001,3134.0793
Belgium,BEL,2002,2968.0574
Belgium,BEL,2003,2978.9807
Belgium,BEL,2004,3107.4504
Belgium,BEL,2005,3161.0842
Belgium,BEL,2006,3306.5896
Belgium,BEL,2007,3420.5757
Belgium,BEL,2008,3440.16
Belgium,BEL,2009,3551.3333
Belgium,BEL,2010,3767.1687
Belgium,BEL,2011,3910.078
Belgium,BEL,2012,4147.2085
Belgium,BEL,2013,4188.3374
Belgium,BEL,2014,4562.406
Belgium,BEL,2015,4741.8604
Belgium,BEL,2016,4811.195
Belgium,BEL,2017,4757.9253
Belgium,BEL,2018,5032.3677
Belgium,BEL,2019,5280.422
Belgium,BEL,2020,5410.832
Belgium,BEL,2021,6581.892
Bolivia,BOL,1998,71.84872
Bolivia,BOL,1999,71.75181
Bolivia,BOL,2000,70.45605
Bolivia,BOL,2001,121.11614
Bolivia,BOL,2002,117.87637
Bolivia,BOL,2009,142.6909
Bolivia,BOL,2010,162.37238
Bosnia and Herzegovina,BIH,2003,55.25296
Bosnia and Herzegovina,BIH,2004,57.20622
Bosnia and Herzegovina,BIH,2005,61.47947
Bosnia and Herzegovina,BIH,2006,164.63454
Bosnia and Herzegovina,BIH,2007,184.46034
Bosnia and Herzegovina,BIH,2012,155.65492
Bosnia and Herzegovina,BIH,2013,227.61597
Bosnia and Herzegovina,BIH,2014,283.18204
Bosnia and Herzegovina,BIH,2015,353.12317
Bosnia and Herzegovina,BIH,2016,406.14246
Bosnia and Herzegovina,BIH,2017,470.169
Bosnia and Herzegovina,BIH,2018,458.0373
Bosnia and Herzegovina,BIH,2019,449.22437
Bosnia and Herzegovina,BIH,2020,443.8526
Bosnia and Herzegovina,BIH,2021,442.83084
Botswana,BWA,2012,163.21632
Botswana,BWA,2013,173.94931
Brazil,BRA,2000,295.39966
Brazil,BRA,2001,337.66824
Brazil,BRA,2002,398.78635
Brazil,BRA,2003,423.76935
Brazil,BRA,2004,483.9042
Brazil,BRA,2005,509.99377
Brazil,BRA,2006,544.227
Brazil,BRA,2007,556.0472
Brazil,BRA,2008,591.6014
Brazil,BRA,2009,626.43866
